Country;PostalCode;Suburb;Region;RegionCode;Province;ProvinceCode;City;Occurrences;Lat_Old;Long_Old
BE;2340;Vlimmeren;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.952;47.813
BE;2350;Vosselaar;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;513.086;48.896
BE;2360;Oud-Turnhout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;513.198;49.841
BE;2370;Arendonk;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;513.227;50.829
BE;2380;Ravels;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;513.727;49.921
BE;2381;Weelde;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;514.078;49.925
BE;2382;Poppel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;514.457;50.433
BE;2387;Baarle-Hertog;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;51.405;48.923
BE;2390;Westmalle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.977;46.901
BE;2390;Oostmalle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.3;47.333
BE;2390;Malle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.992;47.109
BE;2400;Mol;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.919;51.166
BE;2430;Laakdal;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.807;50.056
BE;2430;Vorst;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.803;5.02
BE;2430;Eindhout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.038;49.999
BE;2431;Varendonk;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.841;49.514
BE;2431;Veerle;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.699;49.876
BE;2440;Geel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.656;49.892
BE;2450;Meerhout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.321;50.784
BE;2460;Lichtaart;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.249;49.168
BE;2460;Kasterlee;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.412;49.665
BE;2460;Tielen;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;51.243;48.996
BE;2470;Retie;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.665;50.824
BE;2480;Dessel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.385;51.145
BE;2490;Balen;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.684;51.703
BE;2491;Olmen;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.423;5.15
BE;2500;Koningshooikt;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.961;46.099
BE;2500;Lier;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.313;45.704
BE;2520;Oelegem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.131;45.983
BE;2520;Emblem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.624;46.049
BE;2520;Ranst;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.898;45.653
BE;2520;Broechem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.813;46.018
BE;2530;Boechout;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.596;44.919
BE;2531;Vremde;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.753;45.232
BE;2540;Hove;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.545;44.707
BE;2547;Lint;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.271;44.967
BE;2550;Kontich;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.321;44.471
BE;2550;Waarloos;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.106;44.548
BE;2560;Kessel;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.389;46.296
BE;2560;Bevel;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.378;46.803
BE;2560;Nijlen;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.161;46.701
BE;2570;Duffel;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.955;4.509
BE;2580;Putte;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.534;46.326
BE;2580;Beerzel;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.575;46.713
BE;2590;Berlaar;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.176;46.584
BE;2590;Gestel;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.287;4.673
BE;2600;Berchem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.902;44.326
BE;2610;Wilrijk;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.673;43.951
BE;2620;Hemiksem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.448;43.387
BE;2627;Schelle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.262;43.411
BE;2630;Aartselaar;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.341;43.868
BE;2640;Mortsel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.167;44.513
BE;2650;Edegem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.566;4.445
BE;2660;Hoboken;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.761;43.484
BE;2800;Walem;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.671;44.584
BE;2800;Mechelen;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.257;44.776
BE;2801;Heffen;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.472;4.416
BE;2811;Hombeek;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.175;44.389
BE;2811;Leest;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.332;44.153
BE;2812;Muizen;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.111;45.143
BE;2820;Bonheiden;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.226;45.471
BE;2820;Rijmenam;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.016;4.584
BE;2830;Willebroek;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.604;43.602
BE;2830;Tisselt;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.034;43.595
BE;2830;Heindonk;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.067;44.081
BE;2830;Blaasveld;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.559;43.767
BE;2840;Terhagen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;510.797;43.991
BE;2840;Reet;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.102;44.126
BE;2840;Rumst;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;510.815;44.222
BE;2845;Niel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.111;43.343
